date,btc_rub,usd_rub,btc_ret,usd_ret,events_total,events_Russia/Ukraine,events_MiddleEast/Iran,events_Oil/Energy,events_US/Macro/Policy,events_China/Asia risk
2026-02-20,5135921.213092764,76.6405,nan,nan,5,2,2,0,0,1
2026-02-21,5211705.830343728,76.7519,0.014755798250520202,0.0014535395776384963,5,5,0,1,0,0
2026-02-22,5212289.72064483,76.7519,0.0001120343933653789,0.0,1,1,1,0,0,0
2026-02-23,5165668.448008618,76.7519,-0.008944489875832073,0.0,6,3,0,2,1,1
2026-02-24,4949856.343588395,76.7519,-0.04177815641718541,0.0,5,4,1,1,0,0
2026-02-25,4904958.09412041,76.6342,-0.009070616670752929,-0.0015335125254227755,3,1,1,1,0,0
2026-02-26,5249112.344346423,76.4678,0.07016456483869882,-0.00217135430395321,2,0,1,1,0,0
2026-02-27,5186726.59147853,77.1218,-0.011885010031283727,0.008552619533973793,3,0,2,1,0,0
2026-02-28,5078554.979360422,77.2736,-0.020855468320969073,0.0019683150548872597,14,0,13,1,0,0
2026-03-01,5165232.320713351,77.2736,0.01706732361964991,0.0,12,1,9,2,0,0
2026-03-02,5097998.052236166,77.2736,-0.013016697856467196,0.0,14,4,10,2,0,1
2026-03-03,5335287.261490544,77.1734,0.04654556687213618,-0.0012966912373695294,10,1,8,3,0,0
2026-03-04,5305290.729183209,77.6093,-0.005622290016855658,0.005648319239530686,4,0,3,0,1,1
2026-03-05,5737966.082516356,77.8009,0.08155544633079148,0.00246877629356268,3,0,1,2,0,0
